conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,skill/competence,transversal,εκτέλεση υπολογισμών,released,πραγματοποίηση υπολογισμών που σχετίζονται με την εργασία,"Επίλυση μαθηματικών προβλημάτων για την επίτευξη στόχων που σχετίζονται με την εργασία.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,Εργασία με αριθμούς και μονάδες μέτρησης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,skill/competence,transversal,διαχείριση αγανάκτησης,released,διαχείριση ματαίωσης,Διατήρηση ηρεμίας και αντίδραση με εποικοδομητικό τρόπο στο θυμό του ιδίου ή άλλων ή σε περίπτωση αντιμετώπισης εμποδίων ή παραπόνων.,http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,Διατήρηση θετικής στάσης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,skill/competence,transversal,υπολογισμός πιθανοτήτων,released,εκτίμηση της πιθανότητας ενός αποτελέσματος ή ενός γεγονότος | εργασία με πιθανότητες | διενέργεια εκτιμήσεων,"Πρόβλεψη της πιθανότητας ενός αποτελέσματος βάσει υπολογισμών ή πείρας.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,Εργασία με αριθμούς και μονάδες μέτρησης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419,skill/competence,transversal,διαχείριση οικονομικών και υλικών πόρων,released,"χρήση πιστώσεων, αποταμιεύσεων. επενδύσεων και συντάξεων για την επίτευξη μακροπρόθεσμων στόχων | άσκηση των δικαιωμάτων των καταναλωτών | επιλογή κατάλληλων ασφαλιστικών προϊόντων | χρήση οικονομικών συμβουλών και υπηρεσιών καθοδήγησης με κριτική νοοτροπία | σύγκριση προσφορών κατά την απόκτηση προϊόντων ή υπηρεσιών | ανάληψη αποτελεσματικού οικονομικού σχεδιασμού | διαχείριση των προσωπικών οικονομικών | διαχείριση προσωπικού προϋπολογισμού για οικονομικές ανάγκες","Διενέργεια αποτελεσματικού οικονομικού σχεδιασμού, χρησιμοποιώντας πιστώσεις, αποταμιεύσεις, επενδύσεις και συντάξεις για την επίτευξη βραχυπρόθεσμων και μακροπρόθεσμων στόχων, χρησιμοποιώντας χρηματοοικονομικές συμβουλές και υπηρεσίες καθοδήγησης με κριτικό πνεύμα, συγκρίνοντας συμφωνίες και προσφορές κατά την αγορά προϊόντων ή υπηρεσιών και επιλέγοντας ενεργά κατάλληλα ασφαλιστικά προϊόντα.
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,Εφαρμογή επιχειρηματικών και οικονομικών δεξιοτήτων και ικανοτήτων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01,skill/competence,transversal,επίδειξη αφοσίωσης,released,επίδειξη ενθουσιασμού | επίδειξη δέσμευσης | επίδειξη  κινήτρου | απόλαυση της εργασίας | διάθεση για εργασία,"Επίδειξη προθυμίας για άμεση διεκπεραίωση εργασιών, ακόμη και αν είναι δύσκολες ή δυσάρεστες.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Προδραστική προσέγγιση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,skill/competence,transversal,γρήγορη σκέψη,released,Γρήγορη αντίληψη | γρήγορη ντίδραση | καταλαβαίνω γρήγορα | επίδειξη καλό επιπέδου αντίληψης,"Ικανότητα γρήγορης και ακριβούς κατανόησης και επεξεργασίας των σημαντικότερων πτυχών γεγονότων και των διασυνδέσεών τους.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Επεξεργασία πληροφοριών, ιδεών και εννοιών"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,skill/competence,transversal,αξιολόγηση των περιβαλλοντικών επιπτώσεων της προσωπικής συμπεριφοράς,released,επίδςιξη ευαισθησίας για περιβαλλοντικά ζητήματα | εξέυαση τοθ αντίκτυπου των πράξεων στο περιβάλλον | υιοθέτηση μιας φιλικής προς το περιβάλλον στάσης | υιοθέτηση οικολογικής στάσης | εφαρμογήν ηθικής και βιώσιμης σκέψης,"Υιοθέτηση νοοτροπίας προσανατολισμένης στη βιωσιμότητα στην καθημερινή σας ζωή και στοχασμός σχετικά με την προσωπική οικολογική σας στάση και τις περιβαλλοντικές επιπτώσεις της συμπεριφοράς σας.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα του περιβάλλοντος
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,skill/competence,transversal,διαχείριση ποιότητας,released,,"Επιδίωξη αριστείας στις διαδικασίες, τα προϊόντα και τις δραστηριότητες στον χώρο εργασίας.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Αποδοτική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,skill/competence,transversal,διενέργεια αυτοστοχασμού,released,αυτοστοχασμός | πραγματοποίηση αυτοαξιολόγησης,"Αποτελεσματική, τακτική και συστηματική εξέταση των προσωπικών ενεργειών, επιδόσεων και συμπεριφορών και διενέργεια απαραίτητων προσαρμογών με αναζήτηση ευκαιριών επαγγελματικής εξέλιξης για την κάλυψη των κενών γνώσης και πρακτικής σε συγκεκριμένους τομείς. Αξιολόγηση του αντικτύπου της δικής σας επαγγελματικής ανάπτυξης.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Επίδειξη βούλησης για μάθηση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,skill/competence,transversal,επίδειξη περιέργειας και ενδιαφέροντος,released,,"Επίδειξη ζωηρού ενδιαφέροντος για καινοτομία και ανοικτού πνεύματος όσον αφορά την απόκτηση εμπειριών, εύρεση συναρπαστικών θεμάτων και αντικειμένων, ενεργός διερεύνηση και ανακάλυψη νέων τομέων.",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Επίδειξη βούλησης για μάθηση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,skill/competence,transversal,διαχείριση της προσωπικής εξέλιξης,released,διαχείριση στόχων ζωής | σχεδιασμός καριέρας | διαχείριση στόχων καριέρας,"Ενασχόληση με και προώθηση των δεξιοτήτων και των ικανοτήτων σας ώστε να προοδεύσετε στην επαγγελματική και ιδιωτική ζωή.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Προδραστική προσέγγιση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,skill/competence,transversal,θετική προσέγγιση των προκλήσεων,released,επίδειξη χιούμορ | υιοθέτηση εποικοδομητικής προσέγγισης | διατήρηση θετικής στάσης,"Υιοθέτηση θετικής στάσης και εποικοδομητικής προσέγγισης κατά την αντιμετώπιση προκλήσεων.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,Διατήρηση θετικής στάσης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,skill/competence,transversal,αναλυτική σκέψη,released,αναλυτική ικανότητα | αναλυτικός τρόπος σκέψης | αναλυτικό πνεύμα· αναλυτική αντίληψη,"Παραγωγή σκέψεων με τη χρήση της λογικής και της συλλογιστικής προκειμένου να εντοπιστούν τα δυνατά και τα αδύνατα σημεία των εναλλακτικών λύσεων, συμπερασμάτων ή προσεγγίσεων στα προβλήματα.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Επεξεργασία πληροφοριών, ιδεών και εννοιών"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,skill/competence,transversal,προσαρμογή σε αλλαγές,released,,Αλλαγή ατομικής στάσης ή συμπεριφοράς για την διευκόλυνση τροποποιήσεων στον χώρο εργασίας.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Επίδειξη βούλησης για μάθηση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,skill/competence,transversal,υιοθέτηση τρόπων μείωσης των αρνητικών επιπτώσεων της κατανάλωσης,released,επαναχρησιμοποίηση προϊόντων | ακολουθία βιώσιμων πρακτικών εργασίας | συμμετοχή στην κυκλική οικονομία | άσκηση ενός μινιμαλιστικού τρόπου ζωής | μοίρασμα φυσικών πόρων | αποφυγή του πλαστικού | επαναχρησιμοποίηση υλικών | ελαχιστοποίηση της παραγωγής απορριμμάτων στα νοικοκυριά | μείωση της κατανάλωσης νερού ή ενέργειας | μείωση των απορριμμάτων μέσω επαναχρησιμοποίησης και ανακύκλωσης | συλλογή ανακύκλωσης | μείωση της κατανάλωσης ενέργειας και νερού | εφαρμογή βιώσιμων πρακτικών κατανάλωσης | μείωση της κατανάλωσης ενέργειας | αποφυγή των ειδών μιας χρήσης,"Εφαρμογή αρχών, πολιτικών και κανονισμών που αποσκοπούν στην περιβαλλοντική βιωσιμότητα, συμπεριλαμβανομένης της μείωσης των αποβλήτων και της κατανάλωσης ενέργειας και νερού, της επαναχρησιμοποίησης και της ανακύκλωσης των προϊόντων, και της συμμετοχής στη συνεργατική οικονομία.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα του περιβάλλοντος
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,skill/competence,transversal,διατήρηση ψυχολογικής ευεξίας,released,προστασία της ψυχολογικής ευεξίας | επιδίωξη ψυχικής ευημερίας | εξισορρόπηση του χρόνου εργασίας και της προσωπικής ζωής | διατήρηση της ισορροπίας μεταξύ εργασίας και προσωπικής ζωής | χρήση των ψηφιακών τεχνολογιών με ασφάλεια,"Ικανότητα αποφυγής απειλών για την ψυχολογική ευεξία, για παράδειγμα κατά τη χρήση ψηφιακών τεχνολογιών, συμπεριλαμβανομένης της διατήρησης υγιούς ισορροπίας μεταξύ επαγγελματικής και προσωπικής ζωής.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα της υγείας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,skill/competence,transversal,προστασία της υγείας των άλλων,released,παροχή πρώτων βοηθειών | άμεση επέμβαση σε περίπτωση ανάγκης | προστασία της υγείας του ατόμου | κατάλληλη αντίδραση σε περίπτωση ατυχήματος,"Πρόληψη βλαβών και στήριξη της αποκατάστασης μελών της οικογένειας, κηδεμονευόμενων και συμπολιτών, συμπεριλαμβανομένης της κατάλληλης αντιμετώπισης ατυχημάτων, όπως η παροχή πρώτων βοηθειών.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα της υγείας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,skill/competence,transversal,συντονισμός συζητήσεων,released,"επίβλεψη μιας συζήτησης | διεξαγωγή συζητήσεων | τήρηση του μέτρου | συντονιστής εργαστηρίων, συνεδρίων ή εκδηλώσεων | εφαρμογή τεχνικών μετριοπάθειας | καθοδήγηση μιας συζήτησης","Εφαρμογή τεχνικών και μεθόδων συντονισμού για τη διεξαγωγή συζητήσεων μεταξύ δύο ή περισσότερων ατόμων, συμπεριλαμβανομένων περιπτώσεων όπως εργαστήρια, συνέδρια ή διαδικτυακές εκδηλώσεις. Διασφάλιση ορθότητας και ευγένειας κατά τη συζήτηση.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Επικοινωνία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,skill/competence,transversal,"εφαρμογή γνώσεων στους τομείς της επιστήμης, της τεχνολογίας και της μηχανικής",released,επίδειξη επιστημονικού αλφαβητισμού | εκτέλεση μετρήσεων | επίδειξη τεχνικών ικανοτήτων | υιοθέτηση νέων τεχνολογιών,"Ανάπτυξη και εφαρμογή κατανόησης του φυσικού κόσμου και των αρχών που τον διέπουν, για παράδειγμα με την πραγματοποίηση εύλογων προβλέψεων σχετικά με τα αίτια και τις επιπτώσεις, τον σχεδιασμό δοκιμών για αυτές τις προβλέψεις και τη διενέργεια μετρήσεων με τη χρήση κατάλληλων μονάδων, εργαλείων και εξοπλισμού.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,Εφαρμογή γενικών γνώσεων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,skill/competence,transversal,επεξεργασία χωρικών πληροφοριών,released,εργασία με σχήματα και χώρους | διαχείριση σχήματος και χώρου | εργασία με τη μορφή και τον χώρο | επίδειξη τρισδιάστατης φαντασίας | ύπαρξη τρισδιάστατης φαντασίας | επίδειξη χωρικής νοημοσύνης | αξιοποίηση του χωρικού προσανατολισμού | εφαρμογή χωρικού συλλογισμού,"Ικανότητα του ατόμου να φανταστεί τη θέση και τη σχέση των σωμάτων σε τρισδιάστατους χώρους, αναπτύσσοντας καλή αίσθηση αναλογίας.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,Εργασία με αριθμούς και μονάδες μέτρησης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,skill/competence,transversal,σεβασμός της πολυμορφίας των πολιτισμικών αξιών και κανόνων,released,λαμβάνουν υπόψη την εθνική πολιτιστική ταυτότητα | δείχνουν ευαισθησία απέναντι σε διαφορετικές κοσμοθεωρίες | υποστήριξη της πολιτιστικής πολυμορφίας | επιδεικνύουν γνώση της πολυπολιτισμικής διάστασης των ευρωπαϊκών κοινωνιών | λαμβάνουν υπόψη την ποικιλομορφία των πολιτιστικών αξιών και κανόνων,"Επίδειξη διαπολιτισμικών δεξιοτήτων και σεβασμού των πολιτισμικών αξιών και κανόνων του ίδιου του ατόμου. Επίδειξη ανεκτικότητας και εκτίμησης για τις διαφορετικές αξίες και τους κανόνες διαφορετικών ατόμων και πολιτισμών, που αναπτύσσονται υπό διαφορετικές συνθήκες ή σε διαφορετικούς χρόνους και τόπους.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα των κοινών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,αντιμετώπιση της αβεβαιότητας,released,,"Ανεκτικότητα στην αβεβαιότητα και εποικοδομητική εργασία κατά τη διάρκεια απροσδόκητων και απρόβλεπτων καταστάσεων.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,Διατήρηση θετικής στάσης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,skill/competence,transversal,ομιλία σε κοινό,released,διάλεξη | παρουσίαση ιδεών,"Διεξαγωγή δομημένης, σκόπιμης και διά ζώσης ομιλίας σε ομάδα ακροατών για την παροχή πληροφοριών, την άσκηση επιρροής ή την ψυχαγωγία τους.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Επικοινωνία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,skill/competence,transversal,ομαδική εργασία,released,,Εργασία με άνεση σε ομάδα στην οποία κάθε ένα από τα μέλη εκτελεί τα καθήκοντά για την εξυπηρέτηση όλων των μελών.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,Συνεργασία σε ομάδες και δίκτυα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,skill/competence,transversal,επίδειξη εμπιστοσύνης,released,,Επίδειξη βαθμού ωριμότητας με πλήρη κατανόηση των προσόντων και των ικανοτήτων κάποιου ο οποίος μπορεί να φανεί άξιος εμπιστοσύνης σε διαφορετικές καταστάσεις.,http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,Διατήρηση θετικής στάσης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,skill/competence,transversal,παροχή οδηγιών σε τρίτους,released,καθοδήγηση άλλων ατόμων,Καθοδήγηση ή διδασκαλία τρίτων με την παροχή σχετικών γνώσεων και υποστήριξης.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,Παροχή στήριξης σε άλλους
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,skill/competence,transversal,χειρισμός ψηφιακού υλισμικού,released,εργασία με υλικό υπολογιστή και περιφερειακά | χρήση έξυπνων συσκευών ΤΠΕ | εφαρμογή περιφερειακών συσκευών ΤΠΕ | χρήση εξαρτημάτων υλικού | χρήση πληκτρολογίου | χρήση περιφερειακών ΤΠΕ | χρήση ποντικιού | χρήση ψηφιακών συσκευών | χρήση υλικού ΤΠΕ | εκτέλεση πρακτικών εργασιών με έξυπνες συσκευές | χρήση υλικού,"Ικανότητα χρήσης εξοπλισμού όπως οθόνη, ποντίκι, πληκτρολόγιο, συσκευές αποθήκευσης, εκτυπωτές, σαρωτές κ.λπ. για την εκτέλεση λειτουργιών όπως η σύνδεση, η εκκίνηση, η διακοπή της λειτουργίας, η επανεκκίνηση, η αποθήκευση αρχείων και άλλες λειτουργίες.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Εργασία με ψηφιακές συσκευές και εφαρμογές
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,skill/competence,transversal,"οργάνωση πληροφοριών, αντικειμένων και πόρων",released,οργανωτικές ικανότητες | καταγραφή πληροφοριών | επίδειξη οργανωτικών ικανοτήτων | δόμηση πληροφοριών | λήψη πληροφοριών | οργάνωση των πόρων,"Κατανόηση των καθηκόντων σας και των διαδικασιών που τα συνοδεύουν. Οργάνωση πληροφοριών, αντικειμένων και πόρων με τη χρήση συστηματικών μεθόδων και σύμφωνα με καθορισμένα πρότυπα, και διασφάλιση της άριστης ανταπόκρισης στο καθήκον.
	",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,Σχεδιασμός και οργάνωση
