conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Οι τεχνικές και οι αρχές ανάπτυξης λογισμικού, όπως η ανάλυση, οι αλγόριθμοι, η σύνταξη κώδικα οι δοκιμές και η κατάρτιση προγραμματιστικών υποδειγμάτων στην Erlang.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,προγραμματισμός ηλεκτρονικών υπολογιστών | ανάπτυξη και ανάλυση λογισμικού και εφαρμογών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,διαχείριση της ταξινόμησης δεδομένων ΤΠΕ,released,skill/competence,sector-specific,διαχειρίζομαι την κατάταξη στοιχείων ΤΠΕ | ταξινομώ δεδομένα ΤΠΕ | οργανώνω δεδομένα ΤΠΕ | κατηγοριοποιώ δεδομένα ΤΠΕ | διαχειρίζομαι την κατηγοριοποίηση στοιχείων ΤΠΕ,Εποπτεία του συστήματος ταξινόμησης που ακολουθεί ένας οργανισμός για την οργάνωση των δεδομένων του. Αντιστοίχιση κατόχου σε κάθε έννοια δεδομένων ή σε σύνολο εννοιών και καθορισμός της αξίας κάθε στοιχείου των δεδομένων.,http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"διαχείριση της αρχιτεκτονικής δεδομένων ΤΠΕ | διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,δομή πληροφοριών,released,knowledge,sector-specific,δομή πληροφορίας· διάρθρωση πληροφορίας | δομή πληροφοριακών στοιχείων· διάρθρωση πληροφοριακών δεδομένων· υποδομή ενημέρωσης,"Τύπος υποδομής ο οποίος ορίζει τη μορφή των δεδομένων: ημιδομημένα, μη δομημένα και δομημένα.",http://data.europa.eu/esco/isced-f/0612,σχεδιασμός και διαχείριση βάσεων δεδομένων και δικτύων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,διαχείριση προσωρινών δικτύων ΤΠΕ για ζωντανές παραστάσεις,released,skill/competence,occupation-specific,,"Διαχείριση της εγκατάστασης δικτύων για τη διανομή σημάτων ελέγχου για εφαρμογές τεχνών του θεάματος και εκδηλώσεων. Συντονισμός με τους διάφορους χρήστες. Καθορισμός και εγκατάσταση του εξοπλισμού, των καλωδίων, των συνδέσεων και των συσκευών. Διαμόρφωση, δοκιμή και παρακολούθηση του εξοπλισμού και των επιδόσεων του δικτύου. Στα σήματα ελέγχου περιλαμβάνονται π.χ. τα DMX, RDM, MIDI, Timecode, δεδομένα παρακολούθησης και θέσης, αλλά και σήματα ήχου, βίντεο και θέσης.
	",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,εγκατάσταση συστημάτων πληροφορικής
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,εκσυγχρονισμός των βιομηχανικών διαδικασιών με βάση τις ψηφιακές εξελίξεις,released,skill/competence,sector-specific,,Ενημέρωση για τις ψηφιακές καινοτομίες που εφαρμόζονται στις βιομηχανικές διαδικασίες. Ενσωμάτωση αυτών των εξελίξεων στις διαδικασίες της εταιρείας που αποσκοπούν στην ανάπτυξη ανταγωνιστικών και επικερδών επιχειρηματικών μοντέλων.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,παρακολούθηση των εξελίξεων στον τομέα της εμπειρογνωμοσύνης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,εγκατάσταση εξοπλισμού γραφείου,released,skill/competence,occupation-specific,,"Σύνδεση του εξοπλισμού γραφείου, όπως μόντεμ, σαρωτών και εκτυπωτών, με το δίκτυο ηλεκτρικής ενέργειας και ηλεκτρική σύνδεση ώστε να αποφεύγονται οι επικίνδυνες διαφορές δυναμικού. Δοκιμή της εγκατάστασης για την ορθή λειτουργία. Παρακολούθηση ρυθμίσεων και προετοιμασία της συσκευής για χρήση.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,εκτέλεση γενικών γραμματειακών και διοικητικών καθηκόντων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,released,knowledge,sector-specific,,"Τεχνικές και αρχές ανάπτυξης λογισμικού, όπως είναι η ανάλυση, οι αλγόριθμοι, η συγγραφή κώδικα, οι δοκιμές και η κατάρτιση προγραμματιστικών υποδειγμάτων στη γλώσσα SAS.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a | http://data.europa.eu/esco/isced-f/0613,προγραμματισμός ηλεκτρονικών υπολογιστών | λογισμικό σύστημα στατιστικών αναλύσεων | ανάπτυξη και ανάλυση λογισμικού και εφαρμογών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,χρήση διεπαφής για συγκεκριμένη εφαρμογή,released,skill/competence,sector-specific,,Κατανόηση και χρήση των διεπαφών για συγκεκριμένη εφαρμογή ή περίπτωση χρήσης.,http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,εργασία με υπολογιστές
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,σχεδιασμός ηλεκτρικών συστημάτων,released,skill/competence,cross-sector,,"Προσχέδια και σχεδιασμός ηλεκτρικών συστημάτων, προϊόντων και στοιχείων με τη χρήση λογισμικού και εξοπλισμού σχεδιασμού με τη βοήθεια υπολογιστή (CAD). Σχεδίαση διάταξης πινάκων, ηλεκτρικών σχηματικών διαγραμμάτων, διαγραμμάτων ηλεκτρικών καλωδιώσεων και άλλων στοιχείων συναρμολόγησης.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,σχεδιασμός ηλεκτρικών ή ηλεκτρονικών συστημάτων ή εξοπλισμού
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,ορισμός κανόνων τείχους προστασίας,released,skill/competence,sector-specific,προσδιορισμός ρυθμίσεων τείχους προστασίας | θέσπιση κανόνων τείχους προστασίας | ορισμός προϋποθέσεων εγκατάστασης φίλτρων προστασίας | ορισμός ρυθμίσεων τείχους προστασίας,Καθορισμός κανόνων για μια σειρά στοιχείων που έχουν στόχο να περιορίσουν τη σύνδεση ομάδων δικτύων ή ενός συγκεκριμένου δικτύου με το διαδίκτυο.,http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,προστασία συσκευών τπε
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης,released,skill/competence,sector-specific,,"Χειρισμός συστημάτων καταγραφής των προϊόντων, των συσκευασιών και των δελτίων παραγγελίας σε ειδικές μορφές και τύπους εγγραφών.",http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5 | http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,εκτέλεση εργασιών αποθήκευσης | τήρηση επιχειρησιακών μητρώων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,released,knowledge,sector-specific,,"Ο κινητήρας παιχνιδιών CryEngine είναι ένα πλαίσιο λογισμικού το οποίο αποτελείται από ολοκληρωμένα περιβάλλοντα ανάπτυξης και εξειδικευμένα εργαλεία σχεδιασμού, σχεδιασμένο για την ταχεία επανάληψη παιχνιδιών υπολογιστών που προέρχονται από χρήστες.",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,συστήματα δημιουργίας ψηφιακών παιχνιδιών | τεχνικές και παραγωγή οπτικοακουστικών μέσων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,χρήση λογισμικού για τον σχεδιασμό σόλας με τη βοήθεια υπολογιστή,released,skill/competence,sector-specific,,"Ψηφιοποίηση και σάρωση των μητρών υποδήματος. Εργασία με αρχεία σε διάφορα συστήματα CAD. Παραγωγή τρισδιάστατων μοντέλων σόλας και δημιουργία δισδιάστατων σχεδίων με τη βοήθεια ηλεκτρονικού υπολογιστή. Ταξινόμηση και λήψη της σειράς μεγέθους. Προετοιμασία τεχνικών προδιαγραφών για την κατασκευή. Παραγωγή δισδιάστατων και τρισδιάστατων μηχανικών και τεχνικών σχεδίων καλουπιών για βουλκανισμένες και καλουπωμένες με έγχυση σόλες με τη βοήθεια ηλεκτρονικού υπολογιστή. Εξαγωγή των αρχείων των εικονικών μοντέλων σε εκτυπωτές 3D, συστήματα CAM ή CNC.",http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1 | http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,χρήση λογισμικού για σχεδιασμό με χρήση υπολογιστή | χρήση εργαλείων σχεδιασμού και σχεδίασης με τη βοήθεια ηλεκτρονικού υπολογιστή
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,δημιουργία τρισδιάστατου περιβάλλοντος,released,skill/competence,sector-specific,ανάπτυξη τρισδιάστατου περιβάλλοντος | δημιουργία περιβάλλοντος 3Δ | σχεδιασμός περιβάλλοντος 3Δ | σχεδιασμός τρισδιάστατου περιβάλλοντος | ανάπτυξη περιβάλλοντος 3Δ,"Ανάπτυξη, μέσω υπολογιστή, μιας τρισδιάστατης αναπαράστασης ενός περιβάλλοντος προσομοίωσης, όπου οι χρήστες αλληλεπιδρούν.",http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85 | http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"χειρισμός λογισμικού υπολογιστή τρισδιάστατων γραφικών | σχεδιασμός βιομηχανικών υλικών, συστημάτων ή προϊόντων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,διενέργεια ανάλυσης διαδικτυακών δεδομένων,released,skill/competence,cross-sector,,"Ανάλυση διαδικτυακών εμπειριών και διαδικτυακών δεδομένων για την κατανόηση της συμπεριφοράς των χρηστών, των παραγόντων που ερεθίζουν στην προσοχή τους στο διαδίκτυο και άλλων παραγόντων που θα μπορούσαν να βελτιστοποιήσουν την ανάπτυξη και προβολή της ιστοσελίδας.",http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"διενέργεια ανάλυσης δεδομένων | επεξεργασία ποιοτικών πληροφοριών | διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,διαχείριση απαιτήσεων συμμόρφωσης για την ασφάλεια ΤΠ,released,skill/competence,sector-specific,διαχείριση των προδιαγραφών συμμόρφωσης για την ασφάλεια δικτύων ΤΠ | εφαρμογή βέλτιστων πρακτικών για την ασφάλεια συστημάτων ΤΠ | εκπλήρωση των απαιτήσεων συμμόρφωσης για την ασφάλεια συστημάτων ΤΠ,"Καθοδήγηση της εφαρμογής και της εκπλήρωσης των σχετικών βιομηχανικών προτύπων, των βέλτιστων πρακτικών και των νομικών απαιτήσεων για την ασφάλεια των πληροφοριών.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,λέξεις-κλειδιά ψηφιακού περιεχομένου,released,knowledge,sector-specific,καίριες λέξεις ψηφιακού περιεχομένου· βασικές λέξεις ψηφιακού περιεχομένου· σημαντικές λέξεις ψηφιακού περιεχομένου | λέξεις-κλειδιά ψηφιακών περιεχομένων· λέξεις-κλειδιά ηλεκτρονικού περιεχομένου,Τα ψηφιακά εργαλεία για τη διεξαγωγή έρευνας με λέξεις-κλειδιά. Τα συστήματα ανάκτησης πληροφοριών προσδιορίζουν το περιεχόμενο ενός εγγράφου με βάση λέξεις-κλειδιά και μεταδεδομένα.,http://data.europa.eu/esco/isced-f/0611,χρήση υπολογιστών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,υπηρεσία ονομάτων τομέα,released,knowledge,sector-specific,DNS,"Βάση δεδομένων ονοματοδοσίας, στην οποία τα ονόματα τομέα του διαδικτύου καταγράφονται σε διευθύνσεις πρωτοκόλλου Ίντερνετ (IP). Το σύστημα ονομάτων τομέα επιτρέπει στους χρήστες του διαδικτύου να χρησιμοποιούν ονόματα όπως τίτλους ιστοτόπων, αντί να θυμούνται τις αριθμητικές διευθύνσεις IP που χρησιμοποιούν οι υπολογιστές για τον εντοπισμό συγκεκριμένου ιστότοπου.
	",http://data.europa.eu/esco/isced-f/0612,σχεδιασμός και διαχείριση βάσεων δεδομένων και δικτύων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,μοντελοποίηση και προσομοίωση ιατροτεχνολογικών συσκευών,released,skill/competence,sector-specific,,"Μοντελοποίηση και προσομοίωση ιατροτεχνολογικών προϊόντων με τη χρήση λογισμικού τεχνικού σχεδιασμού.
	",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,χρήση εργαλείων σχεδιασμού και σχεδίασης με τη βοήθεια ηλεκτρονικού υπολογιστή
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,χρήση χάρτη εμπειρίας,released,skill/competence,sector-specific,χρήση χάρτη εμπειρίας πελατών | χρήση χάρτη εμπειριών,"Εξέταση όλων των αλληλεπιδράσεων και επαφών που έχουν τα άτομα με ένα προϊόν, ένα εμπορικό σήμα ή μια υπηρεσία. Καθορισμός βασικών μεταβλητών, όπως η διάρκεια και η συχνότητα κάθε επαφής.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,λογισμικό επεξηγηματικού κειμένου,released,knowledge,occupation-specific,,"Τα διάφορα λογισμικά για τη δημιουργία λεζαντών και υποτίτλων σε αρχείο το οποίο συγχωνεύεται με τα πραγματικά πλάνα, όπως το Telestream και το MovieCaptioners.",http://data.europa.eu/esco/isced-f/0613,ανάπτυξη και ανάλυση λογισμικού και εφαρμογών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,συστήματα υπογραφών της αλυσίδας συστοιχιών (blockchain),released,knowledge,sector-specific,συστήματα ψηφιακής υπογραφής | σχήματα ψηφιακών υπογραφών | σχήματα υπογραφής για blockchain | συστήματα υπογραφής για blockchain | συστήματα υπογραφής blockchain,"Τα βασικά συστήματα ψηφιακής υπογραφής περιλαμβάνουν το σύστημα RSA, το σύστημα El-Gamal, τις συναρτήσεις κατατεμαχισμού (Hash functions), τις επιθέσεις γενεθλίων (Birthday Attacks), το πρότυπο ψηφιακής υπογραφής.
	",http://data.europa.eu/esco/isced-f/0612,σχεδιασμός και διαχείριση βάσεων δεδομένων και δικτύων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,κανονικοποίηση δεδομένων,released,skill/competence,sector-specific,κανονικοποιώ στοιχεία· κανονικοποιώ πληροφοριακά δεδομένα | καταρτίζω δεδομένα· εκτελώ προ-επεξεργασία δεδομένων· μειώνω τον αριθμό δεδομένων,"Μείωση των δεδομένων στην ακριβή βασική μορφή τους (κανονικές μορφές) προκειμένου να επιτευχθούν αποτελέσματα όπως ελαχιστοποίηση της εξάρτησης, εξάλειψη των πλεονασμών, ενίσχυση της συνοχής.",http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"καθιέρωση διαδικασιών δεδομένων | διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,δημιουργία προτύπου λύσεων βασιζόμενων στην εμπειρία του χρήστη,released,skill/competence,sector-specific,δημιουργία υποδείγματος λογισμικού βασισμένου στην εμπειρία του χρήστη | σχεδιάζω πρότυπα λύσεων με βάση την εμπειρία του χρήστη | δημιουργία πρότυπου προγραμμάτων με βάση την εμπειρία του χρήστη,"Σχεδιασμός και προετοιμασία μακετών, προτύπων και ροών για τη δοκιμή λύσεων βασιζόμενων στην εμπειρία των χρηστών (ΕΔΧ) ή για τη συλλογή παρατηρήσεων από τους χρήστες, τους πελάτες, τους εταίρους ή τους ενδιαφερόμενους.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,διαχείριση πληροφοριών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,εφαρμογή πολιτικών συστήματος οργάνωσης,released,skill/competence,cross-sector,,"Εφαρμογή εσωτερικών πολιτικών που συνδέονται με την ανάπτυξη, εσωτερική και εξωτερική χρήση των τεχνολογικών συστημάτων, όπως συστήματα λογισμικού, συστήματα δικτύου και συστήματα τηλεπικοινωνιών, προκειμένου να επιτευχθούν οι στόχοι που αφορούν την αποδοτική λειτουργία και την ανάπτυξη ενός οργανισμού.",http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1 | http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f | http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf,επίδειξη αφοσίωσης | εφαρμογή εταιρικών πολιτικών | συμμόρφωση με επιχειρησιακές διαδικασίες
